mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
BAC009S0182W0172_BAC009S0211W0380,S0182,F,S0211,F
BAC009S0705W0177_BAC009S0071W0436,S0705,M,S0071,M
BAC009S0152W0225_BAC009S0223W0172,S0152,F,S0223,F
BAC009S0361W0190_BAC009S0710W0174,S0361,F,S0710,M
BAC009S0335W0341_BAC009S0357W0127,S0335,F,S0357,F
BAC009S0195W0259_BAC009S0148W0198,S0195,F,S0148,F
BAC009S0360W0169_BAC009S0146W0433,S0360,F,S0146,F
BAC009S0007W0490_BAC009S0169W0386,S0007,M,S0169,F
BAC009S0048W0133_BAC009S0095W0150,S0048,M,S0095,M
BAC009S0209W0253_BAC009S0158W0155,S0209,F,S0158,F
BAC009S0157W0252_BAC009S0349W0407,S0157,F,S0349,F
BAC009S0074W0374_BAC009S0209W0242,S0074,M,S0209,F
BAC009S0059W0393_BAC009S0356W0375,S0059,M,S0356,F
BAC009S0117W0297_BAC009S0127W0328,S0117,M,S0127,F
BAC009S0004W0435_BAC009S0107W0475,S0004,M,S0107,M
BAC009S0195W0381_BAC009S0153W0388,S0195,F,S0153,F
BAC009S0097W0314_BAC009S0601W0189,S0097,M,S0601,M
BAC009S0517W0352_BAC009S0235W0310,S0517,F,S0235,F
BAC009S0198W0238_BAC009S0082W0296,S0198,F,S0082,M
BAC009S0019W0191_BAC009S0039W0258,S0019,M,S0039,M
BAC009S0350W0454_BAC009S0510W0342,S0350,F,S0510,F
BAC009S0183W0131_BAC009S0172W0355,S0183,F,S0172,F
BAC009S0187W0169_BAC009S0117W0266,S0187,F,S0117,M
BAC009S0150W0155_BAC009S0013W0269,S0150,F,S0013,M
BAC009S0015W0430_BAC009S0157W0137,S0015,M,S0157,F
BAC009S0223W0431_BAC009S0146W0371,S0223,F,S0146,F
BAC009S0201W0164_BAC009S0215W0262,S0201,F,S0215,F
BAC009S0117W0373_BAC009S0719W0157,S0117,M,S0719,M
BAC009S0245W0448_BAC009S0073W0320,S0245,F,S0073,M
BAC009S0596W0412_BAC009S0177W0448,S0596,M,S0177,F
BAC009S0093W0367_BAC009S0079W0478,S0093,M,S0079,M
BAC009S0085W0353_BAC009S0720W0273,S0085,M,S0720,M
BAC009S0126W0309_BAC009S0121W0253,S0126,F,S0121,M
BAC009S0339W0469_BAC009S0084W0467,S0339,F,S0084,M
BAC009S0045W0389_BAC009S0515W0153,S0045,M,S0515,F
BAC009S0052W0285_BAC009S0113W0139,S0052,M,S0113,M
BAC009S0149W0184_BAC009S0107W0185,S0149,F,S0107,M
BAC009S0165W0442_BAC009S0704W0267,S0165,F,S0704,M
BAC009S0078W0308_BAC009S0600W0240,S0078,M,S0600,M
BAC009S0657W0215_BAC009S0229W0450,S0657,F,S0229,F
BAC009S0091W0482_BAC009S0192W0255,S0091,M,S0192,F
BAC009S0078W0163_BAC009S0218W0349,S0078,M,S0218,F
BAC009S0197W0148_BAC009S0240W0319,S0197,F,S0240,F
BAC009S0139W0424_BAC009S0161W0138,S0139,F,S0161,F
BAC009S0252W0173_BAC009S0125W0329,S0252,M,S0125,F
BAC009S0131W0236_BAC009S0222W0300,S0131,F,S0222,F
BAC009S0655W0420_BAC009S0362W0152,S0655,F,S0362,F
BAC009S0520W0192_BAC009S0522W0182,S0520,F,S0522,F
BAC009S0151W0271_BAC009S0061W0245,S0151,F,S0061,M
BAC009S0171W0353_BAC009S0182W0331,S0171,F,S0182,F
BAC009S0101W0208_BAC009S0002W0403,S0101,M,S0002,M
BAC009S0087W0196_BAC009S0599W0201,S0087,M,S0599,M
BAC009S0058W0236_BAC009S0511W0420,S0058,M,S0511,F
BAC009S0086W0473_BAC009S0243W0151,S0086,M,S0243,F
BAC009S0348W0303_BAC009S0221W0408,S0348,F,S0221,F
BAC009S0664W0127_BAC009S0058W0230,S0664,F,S0058,M
BAC009S0149W0196_BAC009S0342W0275,S0149,F,S0342,F
BAC009S0006W0445_BAC009S0340W0459,S0006,M,S0340,F
BAC009S0004W0228_BAC009S0237W0234,S0004,M,S0237,F
BAC009S0064W0435_BAC009S0517W0213,S0064,M,S0517,F
BAC009S0218W0196_BAC009S0162W0474,S0218,F,S0162,F
BAC009S0085W0435_BAC009S0193W0164,S0085,M,S0193,F
BAC009S0223W0304_BAC009S0715W0474,S0223,F,S0715,M
BAC009S0183W0392_BAC009S0252W0136,S0183,F,S0252,M
BAC009S0722W0461_BAC009S0233W0395,S0722,M,S0233,F
BAC009S0241W0380_BAC009S0058W0305,S0241,F,S0058,M
BAC009S0073W0244_BAC009S0597W0329,S0073,M,S0597,M
BAC009S0045W0221_BAC009S0202W0245,S0045,M,S0202,F
BAC009S0097W0180_BAC009S0034W0293,S0097,M,S0034,M
BAC009S0095W0147_BAC009S0197W0261,S0095,M,S0197,F
