mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
BAC009S0515W0323_BAC009S0028W0417_BAC009S0716W0444,S0515,F,S0028,M,S0716,M
BAC009S0234W0253_BAC009S0136W0310_BAC009S0712W0314,S0234,F,S0136,F,S0712,M
BAC009S0148W0122_BAC009S0015W0214_BAC009S0720W0261,S0148,F,S0015,M,S0720,M
BAC009S0236W0479_BAC009S0088W0465_BAC009S0167W0419,S0236,F,S0088,M,S0167,F
BAC009S0519W0317_BAC009S0219W0149_BAC009S0153W0206,S0519,F,S0219,F,S0153,F
BAC009S0509W0233_BAC009S0044W0163_BAC009S0124W0451,S0509,F,S0044,M,S0124,F
BAC009S0226W0175_BAC009S0701W0329_BAC009S0168W0468,S0226,F,S0701,M,S0168,F
BAC009S0128W0431_BAC009S0212W0237_BAC009S0239W0445,S0128,F,S0212,F,S0239,F
BAC009S0335W0388_BAC009S0164W0410_BAC009S0181W0362,S0335,F,S0164,F,S0181,F
BAC009S0126W0153_BAC009S0092W0134_BAC009S0133W0316,S0126,F,S0092,M,S0133,F
BAC009S0005W0154_BAC009S0131W0483_BAC009S0706W0218,S0005,M,S0131,F,S0706,M
BAC009S0197W0465_BAC009S0207W0140_BAC009S0713W0333,S0197,F,S0207,F,S0713,M
BAC009S0021W0223_BAC009S0666W0359_BAC009S0703W0461,S0021,M,S0666,F,S0703,M
BAC009S0113W0171_BAC009S0664W0362_BAC009S0705W0174,S0113,M,S0664,F,S0705,M
BAC009S0720W0163_BAC009S0094W0333_BAC009S0238W0189,S0720,M,S0094,M,S0238,F
BAC009S0122W0297_BAC009S0203W0130_BAC009S0710W0444,S0122,M,S0203,F,S0710,M
BAC009S0137W0286_BAC009S0063W0360_BAC009S0178W0217,S0137,F,S0063,M,S0178,F
BAC009S0002W0226_BAC009S0362W0329_BAC009S0035W0306,S0002,M,S0362,F,S0035,M
BAC009S0165W0426_BAC009S0356W0326_BAC009S0192W0399,S0165,F,S0356,F,S0192,F
BAC009S0340W0276_BAC009S0094W0383_BAC009S0206W0420,S0340,F,S0094,M,S0206,F
BAC009S0196W0248_BAC009S0117W0381_BAC009S0343W0439,S0196,F,S0117,M,S0343,F
BAC009S0334W0156_BAC009S0062W0403_BAC009S0522W0484,S0334,F,S0062,M,S0522,F
BAC009S0070W0365_BAC009S0704W0358_BAC009S0657W0493,S0070,M,S0704,M,S0657,F
BAC009S0019W0458_BAC009S0020W0193_BAC009S0245W0479,S0019,M,S0020,M,S0245,F
BAC009S0073W0377_BAC009S0656W0444_BAC009S0142W0256,S0073,M,S0656,F,S0142,F
BAC009S0218W0217_BAC009S0723W0151_BAC009S0334W0298,S0218,F,S0723,M,S0334,F
BAC009S0517W0282_BAC009S0119W0430_BAC009S0243W0403,S0517,F,S0119,M,S0243,F
BAC009S0043W0214_BAC009S0209W0125_BAC009S0128W0245,S0043,M,S0209,F,S0128,F
BAC009S0120W0335_BAC009S0221W0250_BAC009S0105W0398,S0120,M,S0221,F,S0105,M
BAC009S0189W0251_BAC009S0363W0375_BAC009S0211W0153,S0189,F,S0363,F,S0211,F
BAC009S0101W0366_BAC009S0163W0219_BAC009S0028W0487,S0101,M,S0163,F,S0028,M
BAC009S0360W0433_BAC009S0138W0378_BAC009S0101W0489,S0360,F,S0138,F,S0101,M
BAC009S0248W0406_BAC009S0094W0137_BAC009S0175W0344,S0248,M,S0094,M,S0175,F
BAC009S0515W0461_BAC009S0341W0316_BAC009S0197W0278,S0515,F,S0341,F,S0197,F
BAC009S0220W0137_BAC009S0230W0252_BAC009S0021W0252,S0220,F,S0230,F,S0021,M
BAC009S0660W0172_BAC009S0180W0289_BAC009S0020W0261,S0660,F,S0180,F,S0020,M
BAC009S0704W0474_BAC009S0228W0139_BAC009S0350W0312,S0704,M,S0228,F,S0350,F
BAC009S0239W0349_BAC009S0116W0489_BAC009S0363W0187,S0239,F,S0116,M,S0363,F
BAC009S0341W0301_BAC009S0219W0391_BAC009S0514W0207,S0341,F,S0219,F,S0514,F
BAC009S0219W0447_BAC009S0160W0269_BAC009S0703W0175,S0219,F,S0160,F,S0703,M
BAC009S0363W0270_BAC009S0214W0228_BAC009S0509W0321,S0363,F,S0214,F,S0509,F
BAC009S0523W0310_BAC009S0151W0429_BAC009S0334W0199,S0523,F,S0151,F,S0334,F
BAC009S0517W0238_BAC009S0065W0184_BAC009S0060W0457,S0517,F,S0065,M,S0060,M
BAC009S0065W0131_BAC009S0513W0216_BAC009S0070W0400,S0065,M,S0513,F,S0070,M
BAC009S0148W0368_BAC009S0347W0355_BAC009S0216W0134,S0148,F,S0347,F,S0216,F
BAC009S0197W0288_BAC009S0048W0427_BAC009S0125W0138,S0197,F,S0048,M,S0125,F
BAC009S0222W0469_BAC009S0037W0412_BAC009S0514W0230,S0222,F,S0037,M,S0514,F
BAC009S0078W0232_BAC009S0137W0396_BAC009S0512W0127,S0078,M,S0137,F,S0512,F
BAC009S0231W0265_BAC009S0035W0204_BAC009S0131W0227,S0231,F,S0035,M,S0131,F
BAC009S0664W0477_BAC009S0114W0245_BAC009S0046W0162,S0664,F,S0114,M,S0046,M
BAC009S0132W0235_BAC009S0509W0312_BAC009S0360W0287,S0132,F,S0509,F,S0360,F
BAC009S0177W0281_BAC009S0190W0248_BAC009S0057W0315,S0177,F,S0190,F,S0057,M
BAC009S0337W0322_BAC009S0596W0389_BAC009S0078W0393,S0337,F,S0596,M,S0078,M
BAC009S0706W0207_BAC009S0185W0259_BAC009S0037W0327,S0706,M,S0185,F,S0037,M
BAC009S0221W0363_BAC009S0136W0221_BAC009S0116W0409,S0221,F,S0136,F,S0116,M
BAC009S0099W0398_BAC009S0011W0376_BAC009S0050W0127,S0099,M,S0011,M,S0050,M
BAC009S0347W0193_BAC009S0214W0157_BAC009S0166W0325,S0347,F,S0214,F,S0166,F
BAC009S0204W0495_BAC009S0244W0129_BAC009S0123W0422,S0204,F,S0244,F,S0123,M
BAC009S0513W0434_BAC009S0156W0196_BAC009S0354W0142,S0513,F,S0156,F,S0354,F
BAC009S0033W0244_BAC009S0520W0396_BAC009S0183W0445,S0033,M,S0520,F,S0183,F
BAC009S0523W0141_BAC009S0038W0398_BAC009S0011W0459,S0523,F,S0038,M,S0011,M
BAC009S0133W0457_BAC009S0128W0254_BAC009S0246W0394,S0133,F,S0128,F,S0246,M
BAC009S0705W0387_BAC009S0077W0428_BAC009S0198W0190,S0705,M,S0077,M,S0198,F
BAC009S0004W0325_BAC009S0022W0126_BAC009S0211W0271,S0004,M,S0022,M,S0211,F
BAC009S0039W0252_BAC009S0355W0469_BAC009S0231W0352,S0039,M,S0355,F,S0231,F
BAC009S0086W0134_BAC009S0514W0270_BAC009S0111W0284,S0086,M,S0514,F,S0111,M
BAC009S0235W0462_BAC009S0509W0428_BAC009S0071W0490,S0235,F,S0509,F,S0071,M
BAC009S0174W0263_BAC009S0336W0418_BAC009S0110W0446,S0174,F,S0336,F,S0110,M
BAC009S0092W0395_BAC009S0048W0130_BAC009S0210W0473,S0092,M,S0048,M,S0210,F
BAC009S0665W0347_BAC009S0523W0366_BAC009S0228W0371,S0665,F,S0523,F,S0228,F
BAC009S0351W0260_BAC009S0422W0249_BAC009S0162W0455,S0351,F,S0422,M,S0162,F
BAC009S0218W0462_BAC009S0522W0357_BAC009S0344W0484,S0218,F,S0522,F,S0344,F
BAC009S0187W0157_BAC009S0090W0268_BAC009S0346W0439,S0187,F,S0090,M,S0346,F
BAC009S0101W0280_BAC009S0198W0323_BAC009S0063W0436,S0101,M,S0198,F,S0063,M
BAC009S0241W0371_BAC009S0015W0464_BAC009S0666W0232,S0241,F,S0015,M,S0666,F
BAC009S0154W0405_BAC009S0250W0207_BAC009S0238W0379,S0154,F,S0250,M,S0238,F
BAC009S0521W0364_BAC009S0194W0347_BAC009S0143W0222,S0521,F,S0194,F,S0143,F
BAC009S0038W0484_BAC009S0136W0131_BAC009S0147W0244,S0038,M,S0136,F,S0147,F
BAC009S0084W0249_BAC009S0600W0143_BAC009S0705W0317,S0084,M,S0600,M,S0705,M
BAC009S0512W0196_BAC009S0347W0204_BAC009S0027W0225,S0512,F,S0347,F,S0027,M
BAC009S0075W0394_BAC009S0723W0198_BAC009S0111W0387,S0075,M,S0723,M,S0111,M
BAC009S0103W0358_BAC009S0229W0173_BAC009S0722W0256,S0103,M,S0229,F,S0722,M
BAC009S0023W0204_BAC009S0361W0360_BAC009S0197W0216,S0023,M,S0361,F,S0197,F
BAC009S0161W0418_BAC009S0111W0195_BAC009S0101W0425,S0161,F,S0111,M,S0101,M
BAC009S0656W0157_BAC009S0176W0483_BAC009S0346W0373,S0656,F,S0176,F,S0346,F
BAC009S0717W0486_BAC009S0048W0154_BAC009S0716W0185,S0717,M,S0048,M,S0716,M
BAC009S0053W0375_BAC009S0175W0255_BAC009S0522W0244,S0053,M,S0175,F,S0522,F
BAC009S0196W0256_BAC009S0216W0127_BAC009S0521W0178,S0196,F,S0216,F,S0521,F
BAC009S0250W0124_BAC009S0523W0349_BAC009S0002W0333,S0250,M,S0523,F,S0002,M
BAC009S0232W0284_BAC009S0087W0253_BAC009S0111W0446,S0232,F,S0087,M,S0111,M
BAC009S0060W0163_BAC009S0106W0414_BAC009S0055W0413,S0060,M,S0106,M,S0055,M
BAC009S0022W0422_BAC009S0042W0428_BAC009S0123W0342,S0022,M,S0042,M,S0123,M
